"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","55682","testLoginPositive","All test suite","Sat Jun 28 02:14:35 PDT 2025","passed","Sat Jun 28 02:15:31 PDT 2025","com.testacademy.vwo.logintest.LoginTests","Web_Automation","com.testacademy.vwo.logintest.LoginTests","testLoginPositive"
"","50477","testLoginNegative","All test suite","Sat Jun 28 02:14:35 PDT 2025","passed","Sat Jun 28 02:15:26 PDT 2025","com.testacademy.vwo.logintest.LoginTests","Web_Automation","com.testacademy.vwo.logintest.LoginTests","testLoginNegative"
